keyword,page_path,page_url,page_title,position,snippet,date,google_domain,country,language,device
senior care,Homepage,https://www.visiting-angels.co.uk/,Visiting Angels: Home Care Services | Elderly and Respite Care,42,"Exceptional Care Services for the Elderly & Vulnerable in England, Scotland & Wales. Receive Compassionate Home Care with Visiting Angels.",2025-06-11T16:50:31.807567,google.co.uk,GB,en,desktop
elderly care,Homepage,https://www.visiting-angels.co.uk/,Visiting Angels: Home Care Services | Elderly and Respite Care,33,"Exceptional Care Services for the Elderly & Vulnerable in England, Scotland & Wales. Receive Compassionate Home Care with Visiting Angels.",2025-06-11T16:50:32.082471,google.co.uk,GB,en,desktop
domiciliary care,berkshire/blog/domiciliary-care-services-everything-you-need-to-know-about,https://www.visiting-angels.co.uk/berkshire/blog/domiciliary-care-services-everything-you-need-to-know-about/,Domiciliary Care Services: Everything you need to know about,98,It is when domiciliary care services come to action and assist people to stay independent with in the domain of their own homes.,2025-06-11T16:50:35.214239,google.co.uk,GB,en,desktop
home health care,Homepage,https://www.visiting-angels.co.uk/,Visiting Angels: Home Care Services | Elderly and Respite Care,41,"Exceptional Care Services for the Elderly & Vulnerable in England, Scotland & Wales. Receive Compassionate Home Care with Visiting Angels.",2025-06-11T16:50:35.592208,google.co.uk,GB,en,desktop
dementia care,westlondon/dementia-care-at-home,https://www.visiting-angels.co.uk/westlondon/dementia-care-at-home/,Dementia Care At Home - Visiting Angels - West London,71,"From 1 hour home visits up to 24-hour live-in care, Visiting Angels West London offers Dementia care at home. Call us for more information.",2025-06-11T16:50:41.352346,google.co.uk,GB,en,desktop
home care london,westlondon,https://www.visiting-angels.co.uk/westlondon/,Home Care Service in West London - Visiting Angels,17,Visiting Angels West London is one of the leading home care providers. We aim to deliver a tailored home care service to you and loved ones.,2025-06-11T16:50:47.511904,google.co.uk,GB,en,desktop
home care london,southeastlondon,https://www.visiting-angels.co.uk/southeastlondon/,Elderly Home Care in South East London - Visiting Angels,25,"Our South East London office provides elderly home care across Greenwich, Eltham, Blackhealth, Dulwich, Deptford, Bermondsey, Surrey Quays, Woolwich, ...",2025-06-11T16:50:47.511904,google.co.uk,GB,en,desktop
elderly care manchester,manchestereast,https://www.visiting-angels.co.uk/manchestereast/,Home Care in Manchester East - Visiting Angels,19,"Find quality home care for your loved ones in Manchester East area. We provide companionship, Personal care and palliative care to name a few.",2025-06-11T16:50:48.984581,google.co.uk,GB,en,desktop
elderly care manchester,manchestersouth/elderly-care-home-services,https://www.visiting-angels.co.uk/manchestersouth/elderly-care-home-services/,Elderly Care Home Services - South Manchester,52,We provide tailored home care services for adults aged 18-65 and 65+ to help them stay in their own homes and maintain independence.,2025-06-11T16:50:48.984581,google.co.uk,GB,en,desktop
care services glasgow,renfrewshire,https://www.visiting-angels.co.uk/renfrewshire/,Home - Visiting Angels - Renfrewshire,82,"From companion care, quality home care and personal care to complex homecare services including palliative care our office and training academy in Inchinnan ...",2025-06-11T16:50:50.631297,google.co.uk,GB,en,desktop
home care edinburgh,edinburgheast,https://www.visiting-angels.co.uk/edinburgheast/,Home - Visiting Angels - Edinburgh East,7,"At Visiting Angels Edinburgh East, we ensure that the care you receive from us is consistently tailored, flexible and adaptable to your needs and preferences.",2025-06-11T16:50:51.319647,google.co.uk,GB,en,desktop
